   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
64,365262,3113,5355, ,N,VANALDEN,AVE, ,91356,1/13/16,1/15/16,2/11/16,Y,2,171B121   619,ILUSE,South Valley,708682,2,34.16846,-118.55031
65,365297,3102,11737, ,W,WICKS,ST, ,91352,1/13/16,1/22/16,2/11/16,Y,2,198B169   106,ILUSE,North Valley,709512,7,34.23802,-118.38857
66,365346,1140,1652, ,E,113TH,ST, ,90059,1/14/16,5/9/16,2/12/16,Y,2,087A213   332,ILUSE,South Los Angeles,719882,82,33.93180,-118.24421
67,365367,2120,5115, ,E,CAVANAGH,ROAD, ,90032,1/14/16,2/1/16,2/12/16,N,2,136-5A235 119,ILUSE,East Los Angeles,,12,34.06924,-118.17266
68,365368,3100,16868, ,W,STAGG,ST, ,91406,1/14/16,1/22/16,2/12/16,Y,2,189B133   683,ILUSE,South Valley,709503,6,34.21302,-118.50023
69,365366,3121,12573, ,W,TERRA BELLA,ST, ,91331,1/14/16,1/21/16,2/12/16,Y,2,207B161    95,ILUSE,North Valley,709318,5,34.26624,-118.40714
70,365362,2130,2691, ,E,THORPE,AVE, ,90065,1/14/16,1/14/16,2/12/16,Y,2,145-5A219 243,ILUSE,East Los Angeles,708617,0,34.09258,-118.22515
71,365357,1111,8522, ,S,WESTERN,AVE, ,90047,1/14/16,1/20/16,2/12/16,N,2,097-5A193 327,ILUSE,South Los Angeles,,4,33.96026,-118.30878
72,365436,2133,1802, ,W,12TH,PL, ,90006,1/15/16,2/3/16,2/16/16,N,2,129A203   358,ILUSE,Central,,13,34.04653,-118.27925
73,365409,1122,215, ,W,45TH,ST, ,90037,1/15/16,1/25/16,2/16/16,N,2,112-5A203 120,ILUSE,South Los Angeles,,6,34.00298,-118.27677
74,365459,1111,647, ,W,FLORENCE,AVE, ,90044,1/16/16,1/19/16,2/16/16,N,2,102B201   844,ILUSE,South Los Angeles,,1,33.97483,-118.28506
75,365484,2111,9764, ,W,CASHIO,ST, ,90035,1/17/16,1/20/16,2/16/16,Y,2,129B165   310,ILUSE,West Los Angeles,709004,2,34.05191,-118.40090
76,365476,1111,647, ,W,FLORENCE,AVE, ,90044,1/17/16,1/19/16,2/16/16,N,2,102B201   844,ILUSE,South Los Angeles,,1,33.97483,-118.28506
77,365468,2133,2323, ,W,JAMES M. WOOD,BLVD, ,90057,1/17/16,4/8/16,2/16/16,Y,2,132A201   272,ILUSE,Central,716351,59,34.05482,-118.28161
78,365494,2133,1037, ,S,BONNIE BRAE,ST, ,90006,1/18/16,3/5/16,2/16/16,N,2,130-5A203 325,ILUSE,Central,,35,34.04982,-118.27835
79,365543,1122,855, ,E,29TH,ST, ,90011,1/19/16,2/2/16,2/17/16,Y,2,118-5A209 285,ILUSE,South Los Angeles,710429,10,34.01735,-118.25946
80,365590,1132,4809, ,W,ADAMS,BLVD, ,90016,1/19/16,1/26/16,2/17/16,N,2,123B181   957,ILUSE,South Los Angeles,,5,34.03269,-118.34542
81,365603,1102,3727, ,S,COOLIDGE,AVE, ,90066,1/19/16,2/26/16,2/17/16,N,2,114B157   491,ILUSE,West Los Angeles,,28,34.01040,-118.42508
82,365539,1102,3727, ,S,COOLIDGE,AVE, ,90066,1/19/16,1/25/16,2/17/16,N,2,114B157   491,ILUSE,West Los Angeles,,4,34.01040,-118.42508
83,365540,2111,800, ,N,LA BREA,AVE, ,90038,1/19/16,1/21/16,2/17/16,N,2,141B181   272,ILUSE,Central,,2,34.08546,-118.34386
84,365550,2111,801, ,N,LA BREA,AVE, ,90046,1/19/16,1/22/16,2/17/16,N,2,141B181   273,ILUSE,Central,,3,34.08541,-118.34439
85,365581,2112,2210, ,S,SEPULVEDA,BLVD, ,90064,1/19/16,1/20/16,2/17/16,N,2,126B153   815,ILUSE,West Los Angeles,,1,34.03994,-118.43740
86,365630,2133,2808, ,W,8TH,ST, ,90005,1/20/16,3/10/16,2/18/16,Y,2,132B197   472,ILUSE,Central,714271,36,34.05759,-118.28703
87,365684,2133,703, ,S,CARONDELET,ST, ,90057,1/20/16,2/4/16,2/18/16,N,2,133-5A201 278,ILUSE,Central,,11,34.05820,-118.28129
88,365686,2133,705, ,S,CARONDELET,ST, ,90057,1/20/16,2/4/16,2/18/16,N,2,133-5A201 278,ILUSE,Central,,11,34.05808,-118.28137
89,365647,2141,723, ,N,LILLIAN,WAY, ,90038,1/20/16,1/25/16,2/18/16,N,2,141B185   460,ILUSE,Central,,3,34.08416,-118.32800
90,365648,1111,9600, ,S,MAIN,ST, ,90003,1/20/16,1/21/16,2/18/16,N,2,093A205   189,ILUSE,South Los Angeles,,1,33.94906,-118.27370
91,365653,1112,1420, ,W,MARTIN LUTHER KING,BLVD, ,90062,1/20/16,1/28/16,2/18/16,N,2,114B193   370,ILUSE,South Los Angeles,,6,34.01063,-118.30094
92,365640,1122,1204, ,W,VERNON,AVE, ,90037,1/20/16,1/28/16,2/18/16,N,2,111B197   137,ILUSE,South Los Angeles,,6,34.00356,-118.29618
93,365749,2112,4735, ,N,ALONZO,AVE, ,91316,1/21/16,1/28/16,2/19/16,N,2,168B129   478,ILUSE,South Valley,,5,34.15655,-118.52154
94,365736,1122,4750, ,S,BROADWAY, , ,90037,1/21/16,1/25/16,2/19/16,Y,2,111A203    51,ILUSE,South Los Angeles,709726,2,33.99988,-118.27810
95,365725,2142,2808, ,N,NEWELL,ST, ,90039,1/21/16,1/29/16,2/19/16,Y,2,148-5A213 185,ILUSE,East Los Angeles,710088,6,34.10157,-118.24375
96,365763,2112,1652, ,N,TOWER GROVE,DR, ,90210,1/21/16,1/26/16,2/19/16,N,2,150B157   262,ILUSE,West Los Angeles,,3,34.10195,-118.42656
97,365781,1132,1887, ,W,JEFFERSON,BLVD, ,90018,1/22/16,1/27/16,2/22/16,Y,2,120B193   662,ILUSE,South Los Angeles,710104,3,34.02567,-118.31158
98,365780,1101,521, ,E,ROSE,AVE, ,90291,1/22/16,1/29/16,2/22/16,Y,2,111B141   302,ILUSE,West Los Angeles,710085,5,33.99862,-118.47348
99,365793,3113,22160, ,W,VENTURA,BLVD, ,91364,1/22/16,1/29/16,2/22/16,Y,2,171B101   122,ILUSE,South Valley,710090,5,34.16836,-118.61018
