   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
71,413833,3123,15768, ,W,ROXFORD,ST, ,91342,1/29/18,1/30/18,2/27/18,N,1,222B141    69,GARCV,North Valley,,1,34.30801,-118.47518
72,413942,1112,6214, ,S,7TH,AVE, ,90043,1/30/18,2/6/18,2/28/18,Y,1,105B189  1040,GARCV,South Los Angeles,804569,5,33.98321,-118.32438
73,413975,3102,13667, ,W,CHASE,ST, ,91331,1/30/18,1/31/18,2/28/18,Y,1,195B157   580,GARCV,North Valley,803983,1,34.23084,-118.43008
74,413904,1123,9823,1/2,S,FIGUEROA,ST, ,90003,1/30/18,1/30/18,2/28/18,N,1,093A201   418,GARCV,South Los Angeles,,0,33.94676,-118.28296
75,413936,1102,8020, ,S,LOYOLA,BLVD, ,90045,1/30/18,1/31/18,2/28/18,Y,1,099B161   729,GARCV,West Los Angeles,803952,1,33.96510,-118.41653
76,413952,1104,4047, ,S,MARCASEL,AVE, ,90066,1/30/18,2/8/18,2/28/18,Y,1,111B157   413,GARCV,West Los Angeles,804705,7,34.00163,-118.42388
77,413947,1102,8130, ,S,VICKSBURG,AVE, ,90045,1/30/18,1/31/18,2/28/18,Y,1,099B165  1060,GARCV,West Los Angeles,803953,1,33.96423,-118.39428
78,413899,3111,6662, ,N,WINNETKA,AVE, ,91306,1/30/18,1/30/18,2/28/18,Y,1,180B113   239,GARCV,South Valley,803610,0,34.19181,-118.57074
79,414024,3103,6619, ,N,BABCOCK,AVE, ,91606,1/31/18,2/1/18,3/1/18,Y,1,180B161   514,GARCV,South Valley,804366,1,34.19084,-118.40646
80,414008,3123,14660, ,W,NURMI,ST, ,91342,1/31/18,2/1/18,3/1/18,Y,1,222B149   380,GARCV,North Valley,804100,1,34.30643,-118.45249
81,413992,3102,14301, ,W,PIERCE,ST, ,91331,1/31/18,2/1/18,2/5/18,N,1,201B153   879,GARCV,North Valley,,1,34.24462,-118.44457
82,414048,3113,19501, ,W,STAGG,ST, ,91335,1/31/18,2/1/18,3/1/18,N,1,189B117   891,GARCV,South Valley,,1,34.21142,-118.55822
83,414051,3103,6702, ,N,TYRONE,AVE, ,91405,1/31/18,2/5/18,3/1/18,Y,1,180B153   292,GARCV,South Valley,804476,3,34.19215,-118.44422
84,414116,1123,214, ,E,110TH,ST, ,90061,2/1/18,2/12/18,3/2/18,Y,1,088-5A205 231,GARCV,South Los Angeles,805170,7,33.93556,-118.27108
85,414078,1112,4241, ,W,59TH,PL, ,90043,2/1/18,2/6/18,3/2/18,Y,1,105B181   355,GARCV,South Los Angeles,804506,3,33.98629,-118.34951
86,414129,1121,807, ,E,90TH,ST, ,90002,2/1/18,2/5/18,3/2/18,N,1,096A209   365,GARCV,South Los Angeles,,2,33.95482,-118.26052
87,414106,3101,15419, ,W,LEMAC,ST, ,91406,2/1/18,2/7/18,3/2/18,Y,1,189B145   607,GARCV,South Valley,804695,4,34.21127,-118.46910
88,414107,3123,15117, ,W,ORO GRANDE,ST, ,91342,2/1/18,2/2/18,3/2/18,Y,1,219B145   537,GARCV,North Valley,804377,1,34.29415,-118.46065
